question,mean
I can create a Big O profile of my project,7.333333333333333
I can create a runtime speed profile,8.833333333333334
I can evaluate different available tools for reproducibility and installations,6.5
I can make an installation instruction for potential users,8.5
I can make citation info,9.166666666666666
I can mentalize the installation needs from the users' perspective,6.166666666666667
I can read a runtime speed profile,9.333333333333334
I know how to find instruction of going to more sophisticated documentation,8
I know the most important sections for a full public README,9.666666666666666
I learned a lot of new things about software development as a process,10
I understand how to methodically optimize the runtime speed of my code,7.833333333333333
I understand what Big O is,9.166666666666666
I will use what I learned in my projects,9.833333333333334
The course met my expectations,9.333333333333334
