Note: there are more sheets in this document,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Each session is found on its own sheet below. There is a session for each time you have renewed these questions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (UTC),Session,Voter,What helped us learn: 1,Upvotes,What helped us learn: 2,Upvotes,What helped us learn: 3,Upvotes,What held us back: 1,Upvotes,What held us back: 2,Upvotes,What held us back: 3,Upvotes,what can we improve to help us learn better.: 1,Upvotes,what can we improve to help us learn better.: 2,Upvotes,How strict should we teachers be with the prerequisites? Any ideas on how to enforce your suggestion?: 1,Upvotes,How strict should we teachers be with the prerequisites? Any ideas on how to enforce your suggestion?: 2,Upvotes,Which session(s)/topic(s) should get more time at the cost of which session(s)/topic(s)?: 1,Upvotes,Which session(s)/topic(s) should get more time at the cost of which session(s)/topic(s)?: 2,Upvotes,Which session(s)/topic(s) should get more time at the cost of which session(s)/topic(s)?: 3,Upvotes
2026-05-08,1,1,Looking at the GitHub workflows and reflecting over how we worked before and now.,0,,,,,Not sure today.,0,,,,,HAve more interaction or exercises on the last part of this day.,0,,,It it hard to be strict I think. But perhaps have some requirements that participants should be able to do x and y with tool z. ei. Perhaps be able to use git pul and push and know what merges are,0,,,I liked the idea of registred reports. But sice we did not use them it might have stuck less compared to other sessions. Perhaps remove it to discuss how to work with git and branches,0,,,,
2026-05-08,1,2,,,,,,,,,,,,,,,,,,,,,development,0,,,,
2026-05-08,1,3,"A lot of interesting colleagues, great exercise design and good discussion and peer review helped.",0,,,,,It was not hindering but it was more perceptive. A large bunch working on the same repository helped us see the challenges. of git.,0,,,,,As a student take this course early on in career to understand the nooks of being a computer scientist.,0,,,Maybe a questionnaire on git to understand if the participant is ready.,0,,,I don't have a suggestion on it. Maybe peer testing of code between different groups to see if the packages are working.,0,,,,
2026-05-08,1,4,The break down in theory and practice sessions was very helpful. It helps refocusing and not getting too distracted.,0,"The small groups were helpful to meet other people and get different good practices from different people, to then teach them to the next person!",0,The teachers were very nice!,0,Long lectures in the afternoon tend to me a bit heavy (on a full stomach),0,Fear of breaking main? XD,0,,,"Maybe switching the teachers earlier in the course could be helpful, so that a 'new face' does not come in at the end of the course :)",0,,,"There is no need to enforce very strict prerequisites, but maybe in the introductory email there could be a couple of videos to watch if people are unsure that their level in something is high enough.",0,,,I think the formal testing part which we did get to would have been interesting. Maybe there could be a number of core subjects and then people vote on the additional ones at the start of the course?,0,"Maybe the modularity session was not as helpful, since it was mostly about functions. Maybe skip it and get more testing in? Or more pair programming?",0,"Maybe pair programming for every lecture and not as long lectures. Also maybe a Q&A time at the end could be useful, in case something is still unclear?",0
2026-05-08,1,5,"Working together, have discussions and Q&A. I think it helps to keep attention and engage participants.",0,,,,,"Some sessions today were a bit too dense with concepts, and I reckon some people were a bit lost at the end.",0,Sticking to the schedule would have helped,0,,,"Less concepts, but possibly digging into them a bit deeper. For this, it might be good to ask participants what would they like to learn before the course, so that you can put more emphasis on that.",0,,,"I think it is fine to be more lax with the prerequisites, as long as this does not slow down the schedule. I think having the exercises timed was a good strategy.",0,,,"TDD (creating tests in general) and CI, at the expense of documentation (it is something that one can achieve with a bit of common sense) and packaging (this might be too specific to Python)",0,,,,
2026-05-08,1,6,I think short intensive readthroughs+demos combined with hands on exercises worked really well.,0,,,,,I think the frequent schedule changes made it a little hard to follow the course timeline. Especially if one missed an hour or two somewhere.,0,"Björns session was good, but a little too theory heavy...?",0,,,Update Schedule if we are skipping parts/jumping ahead/changing order.,0,I might be easier if the sessions follow more similar format. E.g. 10 min theory + 10 min demo + 25 min exercise (+45 min exercise part 2 if needed) ..._,0,"I think one could be wery strict with basic prerequisities like having vscode, python and git installed, having GitHub account (even PyPi account before course?)
Maybe less so with experience",0,"As for the how to enforce. Maybe every student could be required to reply in issue with their username, create a file in ./learners and commit to it. That should still be managable before course...?",0,"I would allocate more time to Formal testing framework, building a new project (what files and folders should be included and why, what is a good structure of data science project, ...)",0,,,,
2026-05-08,1,7,Richèl,0,interacting with different people,0,,,time,0,,,,,maybe less or shorter breaks,0,more theory,0,,,,,development at the cost of the design document,0,,,,
2026-05-08,1,8,The good atmosphere on the course. Both teacher and student were vey nice and friendly and it felt liek a safe environment to make mistakes and really ask questions. It made me lear a lot!,0,Working in pairs,0,Interactive exercises with reflexions after that.,0,Too much theory material on the second part of today (Friday). It was not interactive. We did not have time in the breakout rooms.,0,Dev branch still was very far away from main. It would have beedn good to fix it. And lern how to bring back everything together. The last exercise did not really work a,0,,,Last day is too much info. Maybe first day could be a bit faste and give more time for the rest.,0,have a second part of the course.... more time to keep development the project would be great,0,I think not to strict. It was fine. I think people had different strengths. Maybe tell the participant to practice a bit before the course. a few exercises before would bring people to the same page.,0,"I program mostly in R and python code was not so easy but still think I did not miss anything important on the course. It is not really about writing a ""weather"" package but about the process.",0,I think it was good. Lat day felt really long.,0,I think the contents were good. Less lectures specially on Friday. More exercises and discussion in breakout rooms.,0,,
2026-05-08,1,9,"- Teachers' explanation of concepts before breakout room labs
- breakout room labs
- Wrap-ups after breakout room labs
- Breakout room labs themselves
- Switching partners in teams.",0,,,,,"Everything is part of learning. So, nothing to say here.",0,,,,,"Maybe increase the breakout room time a bit. However, it's good enough as is.",0,,,"The flexibility helps in asking and answering some practical questions, as long we are learning how to write and organise a project and its code in a more professional and formal manner.",0,,,"The first day theoretical sessions time could be reduced and spread over the more practical session, such testing, git workflow, and module/package building.",0,,,,
2026-05-08,1,10,"Listening through the lectures today; For the entire week, from some lectures and some discussions in the breakout rooms. Overall the documentation of the course is good and I'll be relooking it!",0,,,,,It's from the discussions in break out rooms with some consistent partners; I guess for the course it could be set as two groups - one want to work independently and two in groups; Then it'd be good,0,,,,,I'd pack myself with the foundation. And relooking this course would be good source! Thanks to all the teachers!,0,,,"With prerequisites, you might send some short tutorials and if we feel comfortable with to work on that e.g. git",0,,,Development session should get more time at the cost of design may be!,0,,,,
