Note: there are more sheets in this document,,,,,,,,,,,,,,,,,,,,,,,,,,
Each session is found on its own sheet below. There is a session for each time you have renewed these questions.,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (UTC),Session,Voter,What helped us learn: 1,Upvotes,What helped us learn: 2,Upvotes,What helped us learn: 3,Upvotes,What helped us learn: 4,Upvotes,What helped us learn: 5,Upvotes,What helped us learn: 6,Upvotes,What held us back: 1,Upvotes,What held us back: 2,Upvotes,What held us back: 3,Upvotes,What held us back: 4,Upvotes,what can we improve to help us learn better.: 1,Upvotes,what can we improve to help us learn better.: 2,Upvotes
2026-05-06,1,1,Working together in paired programming.,0,,,,,,,,,,,Not really sure,0,,,,,,,,,,
2026-05-06,1,2,The lecture with link instruction,0,,,,,,,,,,,I was confused about some function which doesn't reasonable,0,,,,,,,A bit long lecture and clear instruction,0,,
2026-05-06,1,3,"The demos were very helpful, especially when two people worked together. Thanks to Richell and Stefan. Very helpful TDD and Pair programming session, with shared knowledge and helping each other.",0,,,,,,,,,,,"I can't complain, I really enjoyed the practice today.",0,,,,,,,"I liked that today we have TDD and Pair programming. Maybe for other students in the next course, you can keep these two sessions for the same day as it helps in reinstating the idea.",0,,
2026-05-06,1,4,The pair programming was very helpful.,0,Changing groups for the pair programming was nice and helpful.,0,Changing groups allowed us to experience different types of collaboration.,0,Having different levels allowed knowledge sharing.,0,Having an introduction of what to do in pair programming helped.,0,Having to switch between driver and navigator was helpful.,0,Switching groups mid-job (during one session) was disruptive.,0,Having people leaving before left people without pairs.,0,"Having the choice of what to work on was a bit disruptive, having only the project or only the functions to work on would have been better.",0,Not understanding how to check if a function existed was a problem.,0,A more structured choice of the problems to work on would help.,0,A variety of 'jobs' of the project level (like weather) would allow people to choose a different project with a different pair.,0
2026-05-06,1,5,"Paired programming was good, particularly for people that are not very experienced.",0,"I've never tried TDD, but I realised that it is a good strategy.",0,Seeing how TDD is done was very helpful,0,,,,,,,"There was probably not enough time to complete all the exercises, but that was probably not the aim. There was enough time to grasp the concepts",0,"TDD is difficult to embrace in a single session, it is a way of work, but that's fine.",0,,,,,"There were some wrong statements on the coding, and we lost some time to think about function names, etc. Next time, it might be good to use a programming language where you have extensive experience.",0,,
2026-05-06,1,6,"I actually really like the practical demos Richel presented. They do not have to be long (1-2x 15-20mins? per day), but it is a great intro. Pair programming was a fun new experience.",0,,,,,,,,,,,"Sometimes, the division of work in teams is challangeing when they are changing frequently. I would prefer either keeping the same team whole day or a predefined strategy on who does what",0,,,,,,,"I really likes assignment in Pair programming section with clear time frame and structure (each read one article, then discuss and produce md summary). Would recommend to replicate!",0,,
2026-05-06,1,7,"Communication, teamwork, role switching, and explaining our ideas helped us learn. Reviewing the code together and solving problems as a pair made the task easier to understand.",0,,,,,,,,,,,"imited skills and knowledge held us back, especially in my case. I needed more time to understand the task and follow the coding process, which made the work slower",0,,,,,,,"We can improve by communicating more, asking questions when we do not understand, and switching roles more often. We can also explain each step slowly, practice more, and review basic concepts before",0,,
2026-05-06,1,8,Helping each other,0,Breaks,0,,,,,,,,,VS Code giving weird git errors,0,,,,,,,,,,
2026-05-06,1,9,"- Teacher explanations before the pair-teaming.
- The teacher's demonstration of the pair-programming with a student.
- The pair-teaming discussions/work
- The pair-programming.",0,,,,,,,,,,,"Nothing specially, today.",0,,,,,,,The program for the day is already good enough. 😇,0,,
2026-05-06,1,10,Working with different people was helpful! I liked using is_even in the is_odd TDD examples. I think moving onto the project when you finished examples was also helpful,0,,,,,,,,,,,I think a little more structure about how to set up the learners folder would be helpful like making a folder to put the file in on the first day. Also should you work on your own project or just copy,0,,,,,,,"I think a ""helpful"" page would be good with packages or things to use in the project",0,,
2026-05-06,1,11,The live-up exercise with the teacher showing how to pair-programme,0,,,,,,,,,,,For me it was a little more difficult to know what was expected from every exercise,0,,,,,,,"Maybe compare some of the code? Or instead of having too many functions, just use one and debate of the different approaches between each group",0,,
