question,mean
I can connect to the course repo,9.555555555555555
I can do a simple FMEA,6
I can find the needs/buissnes requirments,6.555555555555555
I can make an issue in the project,5.888888888888889
I know basic Git,8.444444444444445
I know ehat a Requirment is,7.777777777777778
I know how to write a formal requiremnts documentation,6.777777777777778
I know the difference between a requirment and an Feature,5.111111111111111
I know what a derived requirement,5.888888888888889
I kow how a remote repo works,8.11111111111111
I kow why we specify requirments,7.444444444444445
The purpouse of formalism in Computer Science,6.888888888888889
What are the outcomes of a Program,7.666666666666667
What are the steps of development,7
What is UML,7.222222222222222
What is the Software development life cycle,5.888888888888889
