question,mean
"I can create, assign and close an issue",5
I can name at least three roles that are present in a team,4.125
I can use TDD to develop functions,3.75
I can use a kanban board,4.75
I know how to  make a risk for a requirment,4.625
I know the basic features of RAD (Rapid Application Development),3
I know the major parts of a developel cycle,4.125
I know the major technichal risks with a SW project,3.625
I know where to find the 'latest' best practices,3.375
I understand the key features of  XP (eXtreme Programming),3.5
I understand the spiral model of SDLC,4.125
I understand what SDLC is,4.125
I understand why TDD is important,4.5
I understand why `assert` is important,3.625
I understand why a kanban board is important,4.875
I understand why issues are important,5
